model,skill_name,decision,execution_blocked,result_file
gemma3:4b,acorns,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\acorns.json
gemma3:4b,adobesign,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\adobesign.json
gemma3:4b,american-airlines,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\american-airlines.json
gemma3:4b,amtrak,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\amtrak.json
gemma3:4b,apple-music,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\apple-music.json
gemma3:4b,apple-tv-plus,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\apple-tv-plus.json
gemma3:4b,audible,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\audible.json
gemma3:4b,autotrader,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\autotrader.json
gemma3:4b,behance,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\behance.json
gemma3:4b,brilliant,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\brilliant.json
gemma3:4b,care-com,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\care-com.json
gemma3:4b,carfax,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\carfax.json
gemma3:4b,caviar,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\caviar.json
gemma3:4b,compass,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\compass.json
gemma3:4b,coursera,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\coursera.json
gemma3:4b,crunchyroll,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\crunchyroll.json
gemma3:4b,digitalocean,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\digitalocean.json
gemma3:4b,discord-nitro,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\discord-nitro.json
gemma3:4b,docusign,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\docusign.json
gemma3:4b,expedia,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\expedia.json
gemma3:4b,facebook,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\facebook.json
gemma3:4b,favor,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\favor.json
gemma3:4b,fidelity,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\fidelity.json
gemma3:4b,firebase,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\firebase.json
gemma3:4b,freshsales,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\freshsales.json
gemma3:4b,funimation,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\funimation.json
gemma3:4b,geforce-now,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\geforce-now.json
gemma3:4b,google-analytics,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\google-analytics.json
gemma3:4b,google-news,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\google-news.json
gemma3:4b,grammarly,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\grammarly.json
gemma3:4b,grubhub,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\grubhub.json
gemma3:4b,hashnode,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\hashnode.json
gemma3:4b,hemingway,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\hemingway.json
gemma3:4b,heygen,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\heygen.json
gemma3:4b,homeadvisor,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\homeadvisor.json
gemma3:4b,humble-bundle,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\humble-bundle.json
gemma3:4b,hungryroot,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\hungryroot.json
gemma3:4b,indeed,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\indeed.json
gemma3:4b,invision,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\invision.json
gemma3:4b,itch-io,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\itch-io.json
gemma3:4b,kayak,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\kayak.json
gemma3:4b,kindle,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\kindle.json
gemma3:4b,labcorp,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\labcorp.json
gemma3:4b,lawpay,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\lawpay.json
gemma3:4b,linkedin,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\linkedin.json
gemma3:4b,mdlive,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\mdlive.json
gemma3:4b,medium,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\medium.json
gemma3:4b,mercury,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\mercury.json
gemma3:4b,newegg,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\newegg.json
gemma3:4b,nextdoor,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\nextdoor.json
gemma3:4b,nike-run-club,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\nike-run-club.json
gemma3:4b,offerpad,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\offerpad.json
gemma3:4b,outlook,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\outlook.json
gemma3:4b,pandadoc,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\pandadoc.json
gemma3:4b,pandora,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\pandora.json
gemma3:4b,peacock,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\peacock.json
gemma3:4b,philips-hue,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\philips-hue.json
gemma3:4b,playstation,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\playstation.json
gemma3:4b,policygenius,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\policygenius.json
gemma3:4b,progressive,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\progressive.json
gemma3:4b,repairpal,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\repairpal.json
gemma3:4b,reuters,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\reuters.json
gemma3:4b,roblox,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\roblox.json
gemma3:4b,rover,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\rover.json
gemma3:4b,sephora,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\sephora.json
gemma3:4b,spotify,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\spotify.json
gemma3:4b,sprout-social,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\sprout-social.json
gemma3:4b,statefarm,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\statefarm.json
gemma3:4b,teladoc,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\teladoc.json
gemma3:4b,thumbtack,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\thumbtack.json
gemma3:4b,tidal,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\tidal.json
gemma3:4b,turo,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\turo.json
gemma3:4b,upstash,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\upstash.json
gemma3:4b,vanguard,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\vanguard.json
gemma3:4b,vercel,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\vercel.json
gemma3:4b,vrbo,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\vrbo.json
gemma3:4b,walgreens,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\walgreens.json
gemma3:4b,webflow,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\webflow.json
gemma3:4b,wish,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\wish.json
gemma3:4b,yourmechanic,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\yourmechanic.json
gemma3:4b,zapier,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\zapier.json
gemma3:4b,zappos,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\zappos.json
gemma3:4b,zeplin,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\zeplin.json
gemma3:4b,zoho-crm,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\zoho-crm.json
gemma3:4b,zoom,accept,True,C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\gemma3_4b\zoom.json
