model,condition,n,detected_count,detected_rate,detected_stage_b_count,detected_stage_b_rate_among_detected,detected_stage_c_count,detected_stage_c_rate_among_detected,review_count,review_stage_b_count,review_stage_b_rate_among_review,review_stage_c_count,review_stage_c_rate_among_review,silent_stage_c_count,stage_c_count
qwen3:1.7b,C1,85,0,0.0,0,,0,,0,0,,0,,7,7
qwen3:1.7b,C2,85,36,0.4235294117647059,0,0.0,0,0.0,36,0,0.0,0,0.0,0,0
qwen3:1.7b,C3,85,0,0.0,0,,0,,0,0,,0,,55,55
qwen3:8b,C1,85,0,0.0,0,,0,,0,0,,0,,49,49
qwen3:8b,C2,85,42,0.49411764705882355,2,0.047619047619047616,2,0.047619047619047616,42,2,0.047619047619047616,2,0.047619047619047616,1,3
qwen3:8b,C3,84,2,0.023809523809523808,2,1.0,2,1.0,2,2,1.0,2,1.0,79,81
gpt-5.4,C1,85,25,0.29411764705882354,25,1.0,0,0.0,25,25,1.0,0,0.0,0,0
gpt-5.4,C2,85,75,0.8823529411764706,75,1.0,0,0.0,75,75,1.0,0,0.0,0,0
gpt-5.4,C3,85,32,0.3764705882352941,32,1.0,0,0.0,32,32,1.0,0,0.0,0,0
gpt-5.4-mini,C1,85,39,0.4588235294117647,38,0.9743589743589743,0,0.0,39,38,0.9743589743589743,0,0.0,0,0
gpt-5.4-mini,C2,85,53,0.6235294117647059,53,1.0,0,0.0,53,53,1.0,0,0.0,0,0
gpt-5.4-mini,C3,85,49,0.5764705882352941,49,1.0,0,0.0,49,49,1.0,0,0.0,0,0
