pattern,qwen_rows_with_pattern,qwen_stage_c_with_pattern,qwen_stage_c_rate_with_pattern,qwen_rows_without_pattern,qwen_stage_c_without_pattern,qwen_stage_c_rate_without_pattern,risk_difference_with_minus_without,fisher_odds_ratio_unadjusted,fisher_p_unadjusted
pat_cred_theft,497,192,0.386317907444668,12,3,0.25,0.13631790744466799,1.8885245901639345,0.3875177280459665
pat_instr_override,18,9,0.5,491,186,0.3788187372708758,0.12118126272912422,1.6397849462365592,0.3290906220109133
pat_hardcoded_tokens,12,6,0.5,497,189,0.38028169014084506,0.11971830985915494,1.6296296296296295,0.5493226596477971
pat_hidden_instr,42,19,0.4523809523809524,467,176,0.37687366167023556,0.07550729071071682,1.3658596837944663,0.4075381842915705
pat_code_obfusc,30,13,0.43333333333333335,479,182,0.37995824634655534,0.05337508698677801,1.2478991596638656,0.5665205233908822
pat_ext_transmission,305,122,0.4,204,73,0.35784313725490197,0.042156862745098056,1.1963470319634704,0.3533533899317522
pat_behavior_manip,371,145,0.3908355795148248,138,50,0.36231884057971014,0.02851673893511464,1.129203539823009,0.608456308447195
pat_context_leakage,84,34,0.40476190476190477,425,161,0.3788235294117647,0.02593837535014004,1.1150310559006211,0.7127912458044756
pat_data_exfil,6,2,0.3333333333333333,503,193,0.3836978131212724,-0.050364479787939065,0.8031088082901554,1.0
pat_excess_perms,18,6,0.3333333333333333,491,189,0.384928716904277,-0.051595383570943676,0.798941798941799,0.8067417425924732
pat_fs_scan,5,1,0.2,504,194,0.38492063492063494,-0.18492063492063493,0.39948453608247425,0.6537150858258125
pat_rce,509,195,0.3831041257367387,0,0,,,,1.0
